-1	17454976
-10	95545
-100	160
-1000	1
-1003	1
-101	167
-1010	1
-102	159
-103	151
-104	140
-1040	1
-1045	1
-105	145
-106	132
-107	117
-108	140
-109	142
-1091	1
-1095	1
-11	73695
-110	125
-1103	1
-111	152
-1117	1
-112	139
-113	115
-114	126
-115	115
-116	136
-117	140
-118	115
-119	117
-12	58913
-120	82
-1200	1
-121	92
-122	121
-123	191
-1234	1
-1238	1
-124	131
-125	103
-1251	1
-1253	1
-1256	1
-126	127
-1265	1
-127	124
-128	120
-129	122
-13	47934
-130	112
-131	98
-1317	1
-132	91
-133	93
-134	75
-135	81
-136	81
-137	78
-138	66
-139	104
-14	39575
-140	84
-141	61
-142	76
-143	63
-144	87
-145	53
-146	68
-147	51
-148	52
-149	53
-15	32330
-150	80
-151	70
-1513	1
-152	50
-153	49
-154	45
-155	48
-156	46
-157	56
-158	61
-159	54
-16	27251
-160	54
-161	63
-162	43
-163	53
-164	49
-165	65
-166	36
-167	48
-168	73
-169	59
-1693	1
-17	22827
-170	67
-171	59
-172	42
-173	35
-174	34
-175	47
-1753	1
-176	32
-177	32
-178	31
-179	28
-18	20149
-180	35
-181	41
-1812	1
-182	35
-183	31
-184	26
-185	22
-186	21
-187	24
-188	25
-189	35
-19	17066
-190	27
-191	28
-192	40
-193	44
-194	37
-1944	1
-195	33
-196	37
-197	42
-198	25
-199	22
-2	4469406
-20	14767
-200	15
-201	32
-202	27
-203	25
-204	33
-2045	1
-205	21
-206	24
-207	21
-208	21
-209	17
-21	12874
-210	35
-211	29
-212	14
-213	28
-214	23
-215	14
-216	14
-217	10
-218	18
-219	11
-22	11557
-220	10
-221	12
-222	22
-223	18
-224	13
-225	17
-226	14
-227	20
-228	13
-229	23
-23	10102
-230	12
-231	12
-232	16
-233	13
-234	9
-235	11
-236	12
-237	14
-238	11
-239	11
-24	9023
-240	12
-241	6
-242	9
-243	16
-244	19
-245	12
-246	11
-247	12
-248	14
-249	8
-25	8235
-250	13
-251	12
-252	10
-253	9
-254	13
-255	14
-256	12
-257	12
-258	7
-259	4
-26	7123
-260	12
-261	10
-262	6
-263	8
-264	13
-265	1
-266	7
-267	10
-268	10
-269	7
-27	6831
-270	6
-271	6
-272	6
-273	6
-274	12
-275	8
-276	10
-277	5
-278	3
-279	15
-28	6027
-280	5
-281	16
-282	15
-283	20
-284	8
-285	11
-286	6
-287	9
-288	11
-289	7
-29	5296
-290	4
-291	8
-292	7
-293	8
-294	5
-295	5
-296	12
-297	7
-298	11
-299	10
-3	1832378
-30	4889
-300	8
-301	4
-302	13
